displayName,User Name,Full Name,mailNickname,userPrincipalName,Role,Short Role Description,mail,jobTitle,department,companyName,officeLocation,accountEnabled,userType,employeeId,employeeType,id,givenName,surname,otherMails,employeeHireDate,businessPhones,mobilePhone,faxNumber,streetAddress,city,state,postalCode,country,usageLocation,preferredLanguage,createdDateTime,lastPasswordChangeDateTime,onPremisesSamAccountName,onPremisesUserPrincipalName,onPremisesSyncEnabled,onPremisesLastSyncDateTime,licenseCount,planCount,S.no
Loren Bond,LBOND,Loren Bond,lbond,lbond@infopaxidentity.onmicrosoft.com,ZC:DFE:WAREHOUSE_MANAGER_:2000,DFE - Warehouse Manager - 2000 US,,Manufacturing Territory Manager 2,Manufacturing,,,True,Member,,,89638908-a474-4ed0-a1bf-becb66dd1c34,Loren,Bond,,,,,,,,Eugene,,Manufacturing,US,,2026-02-05T16:08:24Z,2026-02-05T16:08:24Z,,,,,0,0,11
Liam Seaward,LSEAWARD,Liam Seaward,lseaward,lseaward@infopaxidentity.onmicrosoft.com,ZC:DFE:WAREHOUSE_MANAGER_:2000,DFE - Warehouse Manager - 2000 US,,Manufacturing Territory Manager 1,Manufacturing,,,True,Member,,,9bc56297-7019-4872-b9c8-364998c4075a,Liam,Seaward,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:08:24Z,2026-02-05T16:08:24Z,,,,,0,0,12
Philipp Junker,PJUNKER,Philipp Junker,pjunker,pjunker@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:1000,P2P - PO-Creator - 1000 UK,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,2e02af8d-c697-445f-a376-23d733d4fa24,Philipp,Junker,,,,,,,,London,,Corporate,GB,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,13
Philipp Junker,PJUNKER,Philipp Junker,pjunker,pjunker@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:1000,P2P - PO-Releaser - 1000 UK,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,2e02af8d-c697-445f-a376-23d733d4fa24,Philipp,Junker,,,,,,,,London,,Corporate,GB,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,14
Pablo Ledesma,PLEDESMA,Pablo Ledesma,pledesma,pledesma@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,59464c9c-a55b-4ada-b9d3-0f36bb0dccf7,Pablo,Ledesma,,,,,,,,Louisville,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,15
Pablo Ledesma,PLEDESMA,Pablo Ledesma,pledesma,pledesma@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,59464c9c-a55b-4ada-b9d3-0f36bb0dccf7,Pablo,Ledesma,,,,,,,,Louisville,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,16
Pedro Lopez,PLOPEZ,Pedro Lopez,plopez,plopez@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,5a945f69-3dd4-4e66-a122-d851d064e10f,Pedro,Lopez,,,,,,,,Louisville,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,17
Pedro Lopez,PLOPEZ,Pedro Lopez,plopez,plopez@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,5a945f69-3dd4-4e66-a122-d851d064e10f,Pedro,Lopez,,,,,,,,Louisville,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,18
Peter Nilsson,PNILSSON,Peter Nilsson,pnilsson,pnilsson@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,af6f8fcb-2aea-489a-a418-3be6f46c2fc9,Peter,Nilsson,,,,,,,,Louisville,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,19
Peter Nilsson,PNILSSON,Peter Nilsson,pnilsson,pnilsson@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,af6f8fcb-2aea-489a-a418-3be6f46c2fc9,Peter,Nilsson,,,,,,,,Louisville,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,20
Pooja Sharma,POOJAS,Pooja Sharma,poojas,poojas@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,da019ad9-dd89-484a-a197-03639e7c50a2,Pooja,Sharma,,,,,,,,Boulder,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,21
Pooja Sharma,POOJAS,Pooja Sharma,poojas,poojas@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,da019ad9-dd89-484a-a197-03639e7c50a2,Pooja,Sharma,,,,,,,,Boulder,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,22
Pia Persson,PPERSSON,Pia Persson,ppersson,ppersson@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,99c3304b-add5-4656-a7b6-cb065630fc28,Pia,Persson,,,,,,,,Boulder,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,23
Pia Persson,PPERSSON,Pia Persson,ppersson,ppersson@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,99c3304b-add5-4656-a7b6-cb065630fc28,Pia,Persson,,,,,,,,Boulder,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,24
Simon Peter,PSIMON,Simon Peter,psimon,psimon@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,243459c3-8d85-4d05-b2af-0471642398b8,Simon,Peter,,,,,,,,Boulder,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,25
Simon Peter,PSIMON,Simon Peter,psimon,psimon@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,243459c3-8d85-4d05-b2af-0471642398b8,Simon,Peter,,,,,,,,Boulder,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,26
Peter Stauffacher,PSTAUFFACHER,Peter Stauffacher,pstauffacher,pstauffacher@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,04c8aeaf-d140-49f6-850a-3f07ef150110,Peter,Stauffacher,,,,,,,,Boulder,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,27
Peter Stauffacher,PSTAUFFACHER,Peter Stauffacher,pstauffacher,pstauffacher@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,04c8aeaf-d140-49f6-850a-3f07ef150110,Peter,Stauffacher,,,,,,,,Boulder,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,28
Paul Taylor,PTAYLOR,Paul Taylor,ptaylor,ptaylor@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,2771326e-9dd4-42ca-9e38-ae440bd928d4,Paul,Taylor,,,,,,,,Boulder,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,29
Paul Taylor,PTAYLOR,Paul Taylor,ptaylor,ptaylor@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,2771326e-9dd4-42ca-9e38-ae440bd928d4,Paul,Taylor,,,,,,,,Boulder,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,30
Philip White,PWHITE,Philip White,pwhite,pwhite@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,f00dab8b-bdc3-41ea-8dfe-8933ed169b1b,Philip,White,,,,,,,,Boulder,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,31
Philip White,PWHITE,Philip White,pwhite,pwhite@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,f00dab8b-bdc3-41ea-8dfe-8933ed169b1b,Philip,White,,,,,,,,Boulder,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,32
Peter Williams,PWILLIAMS,Peter Williams,pwilliams,pwilliams@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,b3f8f33f-e45a-4e18-b4a7-1c853d4e02ce,Peter,Williams,,,,,,,,Boulder,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,33
Peter Williams,PWILLIAMS,Peter Williams,pwilliams,pwilliams@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,b3f8f33f-e45a-4e18-b4a7-1c853d4e02ce,Peter,Williams,,,,,,,,Boulder,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,34
Peterw@bestrun Wong,PWONG,Peterw@bestrun Wong,pwong,pwong@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,a414b912-587e-4700-876a-1e775ec53f37,Peterw@bestrun,Wong,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,35
Peterw@bestrun Wong,PWONG,Peterw@bestrun Wong,pwong,pwong@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,a414b912-587e-4700-876a-1e775ec53f37,Peterw@bestrun,Wong,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,36
Robert Andersson,RANDERSSON,Robert Andersson,randersson,randersson@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,1cce6110-ad73-410b-8645-abe4f72f2190,Robert,Andersson,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,37
Robert Andersson,RANDERSSON,Robert Andersson,randersson,randersson@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,1cce6110-ad73-410b-8645-abe4f72f2190,Robert,Andersson,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,38
Rachel Aquino,RAQUINO,Rachel Aquino,raquino,raquino@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,7e46825e-77ec-4db6-9c35-70afec22c17e,Rachel,Aquino,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,39
Rachel Aquino,RAQUINO,Rachel Aquino,raquino,raquino@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,7e46825e-77ec-4db6-9c35-70afec22c17e,Rachel,Aquino,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,40
Roberto Benavides,RBENAVIDEA,Roberto Benavides,rbenavidea,rbenavidea@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,d4ea7ec6-0261-4b74-bb77-987746d73a63,Roberto,Benavides,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,41
Roberto Benavides,RBENAVIDEA,Roberto Benavides,rbenavidea,rbenavidea@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,d4ea7ec6-0261-4b74-bb77-987746d73a63,Roberto,Benavides,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:09:13Z,2026-02-05T16:09:13Z,,,,,0,0,42
Rebecca Brereton,RBRERETON,Rebecca Brereton,rbrereton,rbrereton@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,ccca4819-180a-452c-a7a6-e28362a562bc,Rebecca,Brereton,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:09:14Z,2026-02-05T16:09:14Z,,,,,0,0,43
Rebecca Brereton,RBRERETON,Rebecca Brereton,rbrereton,rbrereton@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,ccca4819-180a-452c-a7a6-e28362a562bc,Rebecca,Brereton,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:09:14Z,2026-02-05T16:09:14Z,,,,,0,0,44
Rose Cassy,RCASSY,Rose Cassy,rcassy,rcassy@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,e92efe39-0531-43d0-bc05-bb6129dbf753,Rose,Cassy,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:09:14Z,2026-02-05T16:09:14Z,,,,,0,0,45
Rose Cassy,RCASSY,Rose Cassy,rcassy,rcassy@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,e92efe39-0531-43d0-bc05-bb6129dbf753,Rose,Cassy,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:09:14Z,2026-02-05T16:09:14Z,,,,,0,0,46
Riyanti Dewi,RDEWI,Riyanti Dewi,rdewi,rdewi@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,5dc108ec-015c-4f3e-bdcd-ab2348500c00,Riyanti,Dewi,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:09:14Z,2026-02-05T16:09:14Z,,,,,0,0,47
Riyanti Dewi,RDEWI,Riyanti Dewi,rdewi,rdewi@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,5dc108ec-015c-4f3e-bdcd-ab2348500c00,Riyanti,Dewi,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:09:14Z,2026-02-05T16:09:14Z,,,,,0,0,48
Ryoji Goda,RGODA,Ryoji Goda,rgoda,rgoda@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,2d1c8462-a853-4c72-ab53-8047c0f2bcb7,Ryoji,Goda,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:09:14Z,2026-02-05T16:09:14Z,,,,,0,0,49
Ryoji Goda,RGODA,Ryoji Goda,rgoda,rgoda@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,2d1c8462-a853-4c72-ab53-8047c0f2bcb7,Ryoji,Goda,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:09:14Z,2026-02-05T16:09:14Z,,,,,0,0,50
Ryan Harris,RHARRIS,Ryan Harris,rharris,rharris@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,380d5ec0-503d-4fdf-9c73-3b706aad865b,Ryan,Harris,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:09:14Z,2026-02-05T16:09:14Z,,,,,0,0,51
Ryan Harris,RHARRIS,Ryan Harris,rharris,rharris@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,380d5ec0-503d-4fdf-9c73-3b706aad865b,Ryan,Harris,,,,,,,,Providence,,Manufacturing,US,,2026-02-05T16:09:14Z,2026-02-05T16:09:14Z,,,,,0,0,52
Richard Harrison,RHARRISON,Richard Harrison,rharrison,rharrison@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,430b99b3-0237-4102-919a-efab0b4efda5,Richard,Harrison,,,,,,,,Eugene,,Manufacturing,US,,2026-02-05T16:09:14Z,2026-02-05T16:09:14Z,,,,,0,0,53
Richard Harrison,RHARRISON,Richard Harrison,rharrison,rharrison@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,430b99b3-0237-4102-919a-efab0b4efda5,Richard,Harrison,,,,,,,,Eugene,,Manufacturing,US,,2026-02-05T16:09:14Z,2026-02-05T16:09:14Z,,,,,0,0,54
Ruby Olmos,ROLMOS,Ruby Olmos,rolmos,rolmos@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,3df454a8-6f72-4ffa-a55d-5b7e06c0e989,Ruby,Olmos,,,,,,,,Eugene,,Manufacturing,US,,2026-02-05T16:09:14Z,2026-02-05T16:09:14Z,,,,,0,0,55
Ruby Olmos,ROLMOS,Ruby Olmos,rolmos,rolmos@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,3df454a8-6f72-4ffa-a55d-5b7e06c0e989,Ruby,Olmos,,,,,,,,Eugene,,Manufacturing,US,,2026-02-05T16:09:14Z,2026-02-05T16:09:14Z,,,,,0,0,56
Renate Schreiber,RSCHREIBER,Renate Schreiber,rschreiber,rschreiber@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,ee701c39-6515-4434-9ace-018585a70c00,Renate,Schreiber,,,,,,,,Eugene,,Manufacturing,US,,2026-02-05T16:09:14Z,2026-02-05T16:09:14Z,,,,,0,0,57
Renate Schreiber,RSCHREIBER,Renate Schreiber,rschreiber,rschreiber@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_RELEASER_______:2000,P2P - PO-Releaser - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,ee701c39-6515-4434-9ace-018585a70c00,Renate,Schreiber,,,,,,,,Eugene,,Manufacturing,US,,2026-02-05T16:09:14Z,2026-02-05T16:09:14Z,,,,,0,0,58
Rie Shima,RSHIMA,Rie Shima,rshima,rshima@infopaxidentity.onmicrosoft.com,ZC:P2P:PO_CREATOR________:2000,P2P - PO-Creator - 2000 US,,Procurement & Supply Chain Analyst,Procurement & Supply Chain,,,True,Member,,,65abaabe-bfe9-4fa0-9613-7b3e55a7f87d,Rie,Shima,,,,,,,,Eugene,,Manufacturing,US,,2026-02-05T16:09:14Z,2026-02-05T16:09:14Z,,,,,0,0,59
